,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0,2.4414408,2.2921524,2.5480015,1.6472491,2.9516616,2.6087008,2.4211571,2.917737,2.3292766,2.2075949,2.544842,1.8994825,2.3542166,2.6379066,2.7478373,2.428709,2.4292338,2.3817782,2.2034938,1.3260083,2.0755088,2.3771884,2.3604474,2.2713335,2.6656005,2.3395452,2.7873094,2.1469767,2.6374018,2.4677048,3.0229037,3.1295493,2.0753453,2.8757973,2.6327314,2.6205778,2.413497,1.7353126,2.9092128,2.6207805,2.4728594,2.738847,2.072758,2.0403566,2.6025503,1.9602308,2.4659195,2.7760055,1.8621416,2.7069101,2.5107417,2.4568298,2.4785833,1.6148874,1.9786557,2.4048908,2.5441399,2.3332436,2.4854567,2.3061743,2.649051,1.965019,2.7569237,2.5639887,3.0423152,2.62557,2.2102392,2.800543
1,2.2650661,2.6383736,2.6478627,1.7511702,2.4890723,2.6157537,2.400173,2.646606,2.2326448,2.2461412,2.3738823,1.8782536,2.4702308,2.6286514,1.9814199,2.4359787,2.4831092,2.5225854,2.444791,1.6732744,1.9269468,2.4008863,2.4835722,2.3220637,2.781781,2.1942375,2.823495,2.1998897,2.709816,2.5217824,2.6979568,3.1524231,2.2868485,2.766055,2.5035799,2.325988,2.5581777,1.7916198,2.9713035,2.5716324,2.3735046,2.580067,2.4540832,2.2077167,2.3729472,1.9574152,2.4859245,2.5654902,2.3507493,2.8040023,2.4589126,2.4819403,2.2856507,1.2787642,2.1606734,2.327863,2.5619955,2.3460681,2.6215775,2.2370145,2.7349687,2.1242282,2.6615028,2.4111578,2.5323343,3.13777,2.5099704,2.860643
2,2.835655,2.5677633,2.5301585,1.7566774,2.9113832,2.7503417,2.4294095,2.926738,2.0376565,2.1131322,2.6148493,1.772006,2.422182,2.8554616,2.2349458,2.392239,2.5982883,2.389897,2.3872645,1.523664,2.0711164,2.212314,2.7113597,2.4092927,2.6322553,2.2346609,2.8406193,2.2742236,2.7512054,2.3552449,2.7734401,2.803089,2.1727698,2.7881334,2.5169451,2.3756597,2.6964383,1.8979418,2.8015614,2.6654413,2.2701755,2.7000117,2.2857208,2.0638227,2.6310055,1.8676587,2.3086443,2.784983,2.6290574,2.470989,2.5414817,2.539367,2.421399,1.4498941,2.0203168,2.3665454,2.5491383,2.2589529,2.8255372,2.1808217,2.7815716,2.1412227,2.7319906,2.5308957,3.024885,3.5239794,2.1956599,2.7159252
3,2.3583167,2.5721064,2.4715219,1.637047,3.244438,2.6774354,2.4468493,2.6161604,2.0951657,2.100958,2.4992223,1.7624464,2.4262302,2.7295296,2.9149132,2.4690652,2.5373352,2.5344043,2.3931448,1.5628805,1.9556687,2.5764606,2.494971,2.3033967,2.7654104,2.457839,2.7512512,2.304514,2.7250214,2.462974,2.6751642,3.216655,2.1986613,2.9307861,2.4215796,2.2569978,2.6269004,1.8565155,3.3864439,2.5488548,2.3385565,2.6957922,2.114954,2.0421035,2.5168211,1.9523172,2.4382951,2.8543868,2.4267125,2.5613096,2.1347902,2.7038186,2.4012926,1.4407858,2.1784523,2.3436253,2.571443,2.2744813,2.662798,2.3678477,2.6875207,2.1635423,2.6023488,2.4349833,3.0436962,3.361161,2.2470486,2.912915
4,2.2158692,2.6345088,2.413868,1.7164048,2.5480819,2.6016474,2.5755384,2.8002973,2.5170853,2.010413,2.3614557,1.8393005,2.381808,2.763942,2.7423923,2.5505073,2.590734,2.5705872,2.6754973,1.745012,2.1755416,2.458478,2.4265547,2.372208,2.6157954,2.3815162,2.7554178,2.2767124,2.539593,2.595516,2.8047569,3.3341994,2.0742168,2.8346403,2.4401066,2.4630475,2.4310546,1.7516333,2.8283777,2.4066186,2.2881773,2.7055457,2.0942798,1.9824303,2.5323026,1.9028674,2.6229172,2.5860732,2.3963373,2.5111842,2.4798331,2.3514543,2.3881328,1.6628025,2.0850484,2.251363,2.542696,2.252833,2.8311229,2.2780738,2.7249336,2.195304,2.6490853,2.355218,2.8724546,3.029493,2.178593,2.8135142
5,2.281234,2.5802977,2.6495042,1.8419566,2.828141,2.5987315,2.3607447,2.6219156,2.1367586,2.020782,2.363683,1.9048315,2.577472,2.6783612,2.6243718,2.486737,2.561008,2.557164,2.1998646,1.546599,2.0405881,2.4837565,2.472438,2.308423,2.6266723,2.2788796,2.5713105,2.2064652,2.5863538,2.3787775,2.8532872,3.275425,2.1253695,2.7421136,2.439331,2.5697563,2.4635565,1.5661355,2.9523087,2.6469042,2.2953978,2.7897506,2.2016587,2.013883,2.5152247,1.8200957,2.3614085,2.7142968,2.3458858,2.7573144,2.47286,2.2402074,2.3073218,1.6827585,2.1732295,2.299327,2.4815912,2.511629,2.719189,2.2725456,2.6308043,2.2781136,2.7563567,2.5055292,2.8288476,3.388853,2.351217,2.7216275
6,2.5482557,2.4947302,2.4875615,1.7587802,3.1249044,2.6739461,2.5010438,2.6212127,2.2277489,2.1401248,2.4325254,1.8752996,2.4402337,2.678296,2.5737345,2.4619308,2.5394695,2.4885905,2.2761054,1.5178366,2.117174,2.411673,2.5992177,2.3415022,2.9173546,2.2962925,2.6671402,2.2412677,2.6109266,2.4811594,2.8246186,3.4234123,2.1315734,2.854052,2.6009023,2.5600367,2.6299164,1.9320369,2.4968305,2.7701883,2.5511374,2.8070385,2.1695683,2.170273,2.5829382,2.011375,2.5411487,2.8069956,2.5728092,2.2970734,2.5512993,2.4956124,2.4083052,1.5805864,2.0280902,2.4133854,2.5937924,2.4024038,2.4752905,2.309167,2.7657428,2.1772504,2.722474,2.4769843,2.7500043,3.2542927,2.5753014,2.8488529
7,2.599131,2.8250792,2.364473,1.7656486,2.914714,2.7342975,2.465427,2.6818056,1.9558167,2.0023263,2.507595,1.8748752,2.4782264,2.8089352,3.0472536,2.4651644,2.6937346,2.2469678,2.2979124,1.4807656,2.013729,2.441528,2.454767,2.3219829,2.556884,2.3092735,2.5879798,2.1918206,2.761938,2.497042,2.4909167,3.4185753,2.2791457,2.96157,2.722854,2.3850162,2.4630532,1.7934072,2.945886,2.4299479,2.3618298,2.6749847,2.0536382,2.1992755,2.5778809,1.854479,2.3807423,2.6161094,2.2743638,2.2802765,2.7888756,2.4376497,2.4890153,1.7696794,2.0292308,2.3935676,2.4972959,2.2926838,2.4862695,2.289344,2.6290126,2.1867595,2.6849794,2.529213,2.719004,3.2847192,2.1134942,2.898765
8,2.5017903,2.3172753,2.542851,1.8785017,3.0535638,2.6874988,2.5002575,2.5737755,2.28941,2.3070498,2.5188036,1.9445674,2.569888,2.691565,2.6908138,2.5547385,2.487736,2.3807585,2.2670965,1.701102,2.2065833,2.266297,2.5528471,2.364209,2.6588597,2.3680582,2.61045,2.2619143,2.5608344,2.500463,2.904017,3.1326003,2.2324896,2.798937,2.7826748,2.3694205,2.6039891,2.0637054,3.1964335,2.5845027,2.4349802,2.5887184,2.1274874,2.158096,2.5293965,1.8191329,2.488099,2.762815,2.4340367,2.5647087,2.5084264,2.559426,2.4012744,1.5964507,2.244028,2.3443587,2.5712662,2.4021504,2.732372,2.2980475,2.7332454,2.2508,2.7452214,2.4224176,2.786285,3.780125,2.2406712,2.9618342
9,2.318821,2.4231176,2.572658,1.8183031,2.908665,2.6907268,2.412859,2.4981573,2.2076433,2.2338998,2.3935635,1.8767314,2.4049006,2.7705598,2.2351685,2.5053914,2.4833274,2.411588,2.4161096,1.4457471,2.054364,2.4177444,2.5555546,2.1954215,2.6871018,2.2362435,2.6971986,2.1771526,2.5616446,2.3440151,2.452247,2.9643521,2.216248,2.8009713,2.46993,2.357778,2.5786295,1.8576654,3.3017898,2.406282,2.4684072,2.6678913,2.153145,2.1591654,2.3439786,1.8279654,2.495726,2.7206435,2.4043474,2.332961,2.4207416,2.6971784,2.3459432,1.4973238,2.1151507,2.2759209,2.6196482,2.369619,2.7928421,2.3084435,2.800998,2.2303,2.746994,2.4243793,2.8696332,3.497416,2.0795972,2.8446736
