,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0,0.57407576,0.4743341,0.42509237,0.44689575,0.77369267,0.5941669,0.5125213,0.81354195,0.76073766,0.6624437,0.6376383,0.60091966,0.67903346,0.55283546,0.6687033,0.50786716,0.46195656,0.61170465,0.47246048,0.28008294,0.5518861,0.6382352,0.6289366,0.5394423,0.6304645,0.5760102,0.51627713,0.46320498,0.62565047,0.46148548,0.54053533,0.75274163,0.4192468,0.6705535,0.39819968,0.47856614,0.47909337,0.39995214,0.7849576,0.5905007,0.4263565,0.80300343,0.78922796,0.5803368,0.6020977,0.539341,0.6412594,0.6011213,0.73521334,0.55368704,0.40113842,0.6083049,0.49368012,0.3835213,0.54782575,0.72881716,0.57871747,0.48843348,0.5373106,0.5240812,0.51873523,0.46905833,0.60373384,0.4624418,0.48417464,0.77358377,0.41772386,0.72975886
1,0.46060005,0.4939608,0.38548464,0.398031,0.7888858,0.61314255,0.4947893,0.6534088,0.77192867,0.61835337,0.6180541,0.62721914,0.731536,0.5532133,0.6706128,0.516953,0.4752175,0.64482874,0.507329,0.41925317,0.6380182,0.78139883,0.561067,0.54919034,0.7851996,0.5387041,0.5542686,0.47553098,0.6307405,0.50579166,0.5741224,0.5563266,0.39396304,0.7876788,0.41188243,0.6700249,0.4827472,0.3420043,0.72877586,0.63185734,0.500407,0.69918764,0.8441024,0.61089045,0.6283857,0.53834116,0.6818407,0.6308909,0.67316306,0.596173,0.44301167,0.59807545,0.421813,0.28081188,0.640658,0.7140782,0.5870481,0.49916083,0.61493146,0.5489397,0.5318428,0.54029983,0.5842982,0.51058763,0.36663082,0.8008551,0.3906938,0.8207219
2,0.5464439,0.48656705,0.48148972,0.4623529,0.6624887,0.57277864,0.46165818,0.612507,0.8188194,0.63889,0.6118338,0.53772295,0.60948956,0.6096703,0.7065298,0.5853234,0.46129155,0.54428154,0.46957302,0.4271528,0.5952762,0.6167135,0.5678175,0.54373574,0.731991,0.5175997,0.526543,0.5092662,0.5956961,0.5139249,0.4805801,0.7673201,0.43832514,0.77844685,0.39463025,0.55507284,0.46039948,0.44840458,0.6954854,0.7011453,0.5250451,0.6847667,0.83009267,0.6624811,0.64710903,0.58509827,0.67621326,0.61373377,0.6692287,0.6559988,0.4344732,0.57120746,0.56298196,0.36620247,0.6109273,0.62631655,0.5980607,0.52184653,0.658535,0.503286,0.55670136,0.50418514,0.65510905,0.49612245,0.43317726,0.7322965,0.35920024,0.7678259
3,0.4409902,0.5670351,0.4688012,0.3831254,0.68120724,0.68017644,0.49644637,0.6780056,0.7110007,0.6281911,0.5955243,0.60488164,0.764454,0.6122102,0.79563516,0.55435467,0.45863414,0.4694199,0.5036045,0.30334786,0.61686057,0.70321876,0.6054556,0.57790786,0.49995902,0.5068925,0.5991931,0.5318911,0.68160594,0.50888383,0.55055743,0.79317486,0.41598418,0.81048524,0.4043037,0.5267176,0.4502141,0.4800883,0.7764044,0.6630903,0.5127574,0.68039274,0.6973541,0.6424049,0.63010114,0.55903983,0.65299106,0.6565553,0.662598,0.5008071,0.44306153,0.63041157,0.5223135,0.36331514,0.56317943,0.78848344,0.63356143,0.55009687,0.54073524,0.592579,0.5575158,0.5569382,0.5538699,0.5698118,0.4621014,0.77055913,0.3798724,0.81268454
4,0.42070952,0.5102485,0.4639627,0.43366823,0.7231314,0.6580556,0.60602003,0.73017853,0.7353355,0.6561483,0.6190308,0.5812287,0.72193223,0.6076915,0.76122105,0.641769,0.43709347,0.52095246,0.5307431,0.520072,0.7016662,0.57534486,0.58268946,0.57118636,0.88943136,0.52651703,0.5299687,0.52621514,0.63539493,0.479689,0.48247316,0.72295177,0.43704832,0.85870624,0.4564795,0.6440676,0.47023654,0.46338603,0.7051054,0.6865861,0.46914575,0.7487384,0.8147131,0.6199229,0.72273767,0.57574576,0.77762926,0.62207866,0.68260324,0.6013674,0.41262794,0.57435524,0.5762304,0.4586885,0.6334279,0.66393334,0.6475576,0.466391,0.7357998,0.50629085,0.56234163,0.4473309,0.60029304,0.5081751,0.7176415,0.80198306,0.4133791,0.76578933
5,0.4021798,0.5230883,0.38202396,0.5031934,0.6585771,0.5857297,0.5706798,0.74087423,0.71265405,0.6064672,0.62130845,0.6008179,0.661608,0.57417786,0.72710955,0.6218892,0.48092517,0.6246467,0.5579025,0.43551388,0.524392,0.66777945,0.5027294,0.5575212,0.80502295,0.5121712,0.5203477,0.43837696,0.58879167,0.5551791,0.55060595,0.599743,0.36934084,0.73015547,0.43775165,0.7155185,0.4687576,0.4348605,0.65666085,0.6624192,0.4734437,0.692854,0.74305075,0.5274585,0.6135843,0.6196893,0.6915804,0.51893497,0.8001073,0.52845573,0.41530865,0.5123034,0.43096238,0.40965468,0.5522562,0.70944995,0.58915985,0.5049742,0.52137655,0.54850316,0.47991112,0.43308988,0.57581025,0.5001213,0.43508697,0.61914164,0.37829086,0.75421214
6,0.36667413,0.566548,0.41141298,0.4599593,0.7583172,0.5853377,0.50144815,0.67953795,0.69602656,0.61998516,0.639034,0.5750831,0.7235054,0.6185649,0.6373904,0.5545311,0.46695665,0.61617047,0.47061366,0.41251335,0.597709,0.49567226,0.56092435,0.54398715,0.6631841,0.55565876,0.533667,0.4803569,0.6036341,0.51113045,0.50153744,0.88531005,0.38796544,0.7396001,0.40841925,0.569128,0.4495896,0.45672542,0.82036626,0.6219697,0.5419192,0.71277636,0.7076524,0.6712168,0.6707656,0.55929613,0.75373936,0.5498276,0.66615,0.48779643,0.4453754,0.526063,0.511538,0.4085593,0.6044045,0.61974466,0.66946536,0.53077245,0.54986554,0.53285915,0.5656642,0.5346724,0.5764607,0.46128082,0.5776667,0.86997145,0.4736116,0.6883346
7,0.4176835,0.64410466,0.4666292,0.49454498,0.70553553,0.5919372,0.4866981,0.7282667,0.65083927,0.5738659,0.61886907,0.5909877,0.7516809,0.6417561,0.8059228,0.45830175,0.41343653,0.700696,0.5171916,0.3879142,0.56153876,0.49153873,0.59155804,0.5356117,0.628953,0.50564635,0.5104137,0.49075112,0.67392755,0.514184,0.5407063,0.7459863,0.35204843,0.76694965,0.40284547,0.52512866,0.49224856,0.5012799,0.76777035,0.55193686,0.51934457,0.63846606,0.72875255,0.618575,0.631627,0.60636973,0.6334564,0.61481106,0.68419147,0.506827,0.45990065,0.5804598,0.50879025,0.45187974,0.5325968,0.74233365,0.5966142,0.48354858,0.51696247,0.5642669,0.45540962,0.54849344,0.59192574,0.5636663,0.35121647,0.75612843,0.47298133,0.7771651
8,0.4405693,0.6584484,0.46930084,0.4180913,0.6966296,0.5818183,0.5964819,0.57204795,0.7047867,0.61619204,0.55952966,0.55061716,0.7869688,0.6151149,0.76014584,0.43253455,0.49191663,0.45018017,0.5825938,0.4398476,0.57051563,0.6046544,0.5360963,0.51762617,0.6531937,0.5455882,0.54579073,0.4896896,0.58299965,0.5732347,0.50106174,0.8285162,0.46478614,0.7820946,0.4336396,0.47979546,0.5077636,0.49089912,0.7886773,0.6177605,0.47483888,0.7776792,0.80192345,0.622949,0.629297,0.5429708,0.72392213,0.6528095,0.59165245,0.5564142,0.43104807,0.63293505,0.55230427,0.39554697,0.62307835,0.71173143,0.5848612,0.559491,0.5792693,0.49596164,0.5371706,0.5145518,0.6221197,0.51796025,0.5211633,0.71890473,0.4181476,0.76437527
9,0.47454816,0.49033448,0.48615974,0.46464518,0.6956466,0.5699858,0.48874575,0.5927154,0.75047916,0.5689814,0.5841691,0.6197801,0.7298846,0.56970537,0.6234002,0.5061848,0.42734107,0.62469786,0.48891783,0.31946978,0.5441861,0.5462389,0.5079081,0.4899989,0.5337467,0.5226151,0.48345286,0.48526448,0.61977744,0.511275,0.72641265,0.66669744,0.39745262,0.80429053,0.40076303,0.767548,0.47195676,0.41844317,0.80820024,0.61577016,0.5298364,0.69640404,0.6597137,0.5891241,0.6077582,0.5840419,0.7198049,0.6404058,0.6247186,0.5945308,0.45174566,0.6166341,0.49878928,0.339167,0.5221137,0.61902624,0.5193634,0.5320527,0.51017106,0.5198258,0.52956235,0.47345647,0.592928,0.509109,0.5390604,0.6821572,0.4192281,0.79086334
