,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0,2.4070165,2.557489,2.4149954,1.9153485,2.9649956,2.687563,2.5374851,2.692844,2.2270157,2.128547,2.600019,2.0250523,2.5272694,2.816674,2.4533644,2.4617436,2.5811563,2.4475393,2.4455428,1.4123263,2.120368,2.4055746,2.5502381,2.2691422,2.7005787,2.2113721,2.7300494,2.1843605,2.6865494,2.5016112,3.0188282,3.4098206,2.3145883,2.7635822,2.4335725,2.2766426,2.536207,1.7914997,3.1588907,2.703844,2.4751086,2.7990572,2.4257543,2.3106873,2.6398296,1.8430724,2.4985862,2.7996218,2.478095,2.5812528,2.6277723,2.3425217,2.3324459,1.7100736,2.0787988,2.3605423,2.7038536,2.3420792,2.5469816,2.3289065,2.9221795,2.281785,2.7561996,2.4255624,2.9709876,3.0050514,2.2332149,2.829459
1,2.2360616,2.2937362,2.566387,1.9027854,3.211509,2.5434878,2.3188665,2.744286,2.3096776,2.0517905,2.617293,1.7575709,2.405104,2.6203594,2.4239287,2.4042103,2.523698,2.3968709,2.213302,1.681486,2.0023723,2.3090067,2.5802686,2.2193272,2.5183191,2.2388544,2.703766,2.1677942,2.7976167,2.4489777,2.6378753,3.1967297,2.2048957,2.7670515,2.5232863,2.1720269,2.552426,1.704737,2.9862227,2.670968,2.4265683,2.6803102,2.0426617,2.4316816,2.6748583,1.9456527,2.423677,2.6191792,2.6763644,2.5782278,2.463739,2.499207,2.3441572,1.6235476,2.0642998,2.3593516,2.6657536,2.412726,2.6992574,2.4149048,2.688296,2.0919375,2.6807694,2.3411262,2.676398,3.7919645,2.2263215,2.9345744
2,2.336536,2.3582344,2.2895267,1.9538335,3.3551059,2.6478152,2.3458931,2.734773,2.2450278,2.1793783,2.6205044,1.8156915,2.5479708,2.5997193,2.601859,2.512864,2.5412748,2.4338913,2.2206845,1.4619807,1.9319315,2.4737508,2.5783153,2.292501,2.6111803,2.2680843,2.6223335,2.1770916,2.609837,2.4510846,2.9211397,3.1686358,2.101149,2.869518,2.468144,2.3606818,2.5668592,1.7539712,2.9254665,2.5101123,2.4460332,2.783174,2.0816839,2.2277763,2.6146188,1.9062337,2.5362723,2.64099,2.4667165,2.3857203,2.5464141,2.2879956,2.3257053,1.4630412,2.0832539,2.2019532,2.457018,2.1899307,2.7278163,2.3094187,2.6973996,2.2278428,2.7644863,2.4577696,2.750684,3.2287312,2.2820315,2.852736
3,2.6781092,2.3889542,2.392842,2.0124843,2.948962,2.570764,2.5643368,2.8399222,2.24244,2.1803095,2.4905698,1.8188292,2.2661514,3.0370145,2.5177908,2.4408069,2.5508873,2.4734535,2.3583167,1.4569296,2.0878277,2.1820784,2.5612311,2.0907803,2.6253178,2.1642437,2.713542,2.183501,2.6953232,2.438168,2.8443136,3.3549757,2.4055173,2.6895928,2.4157183,2.2966,2.5689044,1.7201253,2.7416081,2.720167,2.2635572,2.8679962,2.295131,2.2584572,2.7328928,1.8717493,2.517612,2.8610182,2.577256,2.4982162,2.478371,2.3892465,2.509996,1.639747,2.073386,2.3232782,2.5984058,2.3277185,2.6505554,2.1551497,2.7010546,2.1323307,2.6788445,2.4596925,2.7484403,3.104519,2.3577335,2.8063154
4,2.5585325,2.302008,2.49201,1.7873139,2.847167,2.6253932,2.3999534,2.7253087,2.159986,2.2064924,2.4121897,1.7960992,2.3968832,2.793265,2.555508,2.3368526,2.5069742,2.5184886,2.3750412,1.594981,2.1428883,2.3010347,2.670931,2.0621238,2.5758357,2.1399817,2.6876807,2.2207563,2.651757,2.612539,3.0229857,3.3094594,1.957877,2.8414743,2.496326,2.2276323,2.529605,1.6736858,3.158837,2.632161,2.3963706,2.765373,2.0300024,2.1955602,2.506822,2.0094645,2.4966152,2.8943973,2.5028896,2.5340738,2.4278524,2.3759942,2.383165,1.4592408,1.9174259,2.3244205,2.4213095,2.196436,2.7200794,2.3897352,2.6349368,2.2661138,2.6453648,2.3570576,2.7333157,3.4033365,1.8166398,3.011762
5,2.4541502,2.5313058,2.5218608,1.9791011,3.2867532,2.5408137,2.472261,2.744088,2.2355947,1.9511992,2.4735487,1.8991857,2.4202576,2.727463,2.4065192,2.5026784,2.4742827,2.495724,2.406851,1.6293079,2.1640937,2.2000225,2.6618726,2.3011987,2.642243,2.2609878,2.669942,2.1576858,2.6208277,2.515754,2.6858456,3.1570914,2.2619383,3.0502796,2.518373,2.259462,2.5593019,1.6755012,3.2533524,2.513641,2.2884524,2.6769547,2.0573628,2.2806218,2.5434258,1.8107017,2.3360646,2.7646482,2.4876714,2.5579948,2.5863953,2.41503,2.5586412,1.4052583,2.0552325,2.408025,2.658466,2.332797,2.6720388,2.350436,2.6882734,2.1215005,2.7471533,2.5124323,2.8187494,3.1810606,2.1757805,2.985881
6,2.595818,2.2828708,2.5783095,1.8163911,2.8254986,2.5980513,2.3929648,2.6006756,2.1436706,2.1306303,2.5854418,1.8166515,2.5962787,2.6538572,2.4984224,2.3755896,2.5264223,2.6360207,2.4598377,1.4997414,2.1798847,2.336188,2.5576634,2.2736185,2.6066656,2.3307674,2.8525498,2.2041714,2.6906796,2.5425475,2.9607518,3.1865845,2.2956672,2.776571,2.65355,2.2950253,2.513928,1.7456293,2.8912482,2.6112206,2.514954,2.7026312,2.135971,2.1331568,2.622225,1.842812,2.4668155,2.7579317,2.4778798,2.59349,2.4574356,2.5027883,2.4235764,1.5557407,2.075823,2.3418376,2.30647,2.219016,2.8130465,2.371611,2.5372698,2.0731447,2.6417394,2.4272823,2.8424788,3.7781835,2.2304463,2.987856
7,2.230344,2.2806153,2.4533248,1.9053937,3.1647446,2.6971433,2.3709905,2.9242249,2.3821335,2.1139996,2.4509442,1.8982872,2.470433,2.6973538,2.2941456,2.5140696,2.5843394,2.2578588,2.2442799,1.4838887,2.0470288,2.3090112,2.5601034,2.2536016,2.7184992,2.2524972,2.7273412,2.1026378,2.716716,2.5293653,2.568322,3.2311618,2.3704147,3.0097451,2.5464182,2.1073952,2.6142242,1.7243686,3.0457845,2.681629,2.4445693,2.7713053,2.1271334,2.2912812,2.7367122,1.8882501,2.4562917,2.7965648,2.6757624,2.4336343,2.6857374,2.3918357,2.4035115,1.6331261,2.0857348,2.3994968,2.5504441,2.384787,2.6226537,2.0946765,2.7335165,2.0635388,2.8914337,2.410009,2.9835207,3.4139004,2.0209355,2.819017
8,2.7137966,2.4135988,2.726673,1.7732512,3.116101,2.61644,2.3744233,2.6961634,2.1334898,2.0738235,2.5554798,1.733571,2.5225403,2.7324533,2.4946198,2.378408,2.590621,2.4311798,2.477228,1.5847332,2.099984,2.255486,2.5945785,2.2433364,2.537545,2.3052876,2.6918921,2.1552231,2.582904,2.27686,2.6775215,3.4925215,2.376018,2.8271074,2.4037845,2.1785553,2.4747145,1.8037335,3.0252461,2.6206396,2.4484105,2.6281457,2.045973,2.320131,2.492355,1.7348939,2.362233,2.6651905,2.4047744,2.4168909,2.3690543,2.5900135,2.5133135,1.4587312,1.9334651,2.2124472,2.456839,2.3057187,2.3967955,2.343768,2.6230884,2.0943446,2.7510812,2.491094,2.9623544,3.3216858,2.5290565,2.6624625
9,2.3365242,2.483556,2.514514,1.6210858,3.2517307,2.7053456,2.406934,2.6596777,2.1263692,2.1838813,2.482549,1.915798,2.426707,2.8179026,2.425273,2.4706044,2.3573723,2.5554163,2.344078,1.5474914,2.0562575,2.6587422,2.7677069,2.22747,2.835104,2.3443897,2.7432277,2.1576355,2.6771371,2.2765036,2.8662949,3.351476,2.285667,2.8675401,2.5273092,2.25651,2.6469848,1.7755536,2.8521183,2.5860782,2.2323732,2.619394,2.078508,2.0159183,2.5126557,1.8465694,2.5453067,2.7495968,2.2248433,2.4522493,2.6721876,2.4391208,2.471179,1.4628426,2.1732361,2.5798707,2.4457383,2.2411873,2.5821521,2.3826737,2.820155,1.6881845,2.7259612,2.3968482,2.8192399,3.3844538,2.256794,2.9749928
