,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
0,0.40781745,0.5954829,0.4720917,0.4848577,0.782697,0.66390526,0.4918089,0.6297404,0.6804959,0.6204924,0.5899123,0.5834744,0.6946211,0.7092013,0.6945911,0.5458082,0.4137972,0.5950904,0.48687235,0.38757914,0.60147536,0.5746865,0.6491625,0.5538857,0.4704894,0.51031417,0.54203224,0.49066454,0.6714504,0.53717285,0.44257057,0.72174484,0.40806624,0.73924345,0.40477535,0.70485187,0.423218,0.48500964,0.7764787,0.64320755,0.53359216,0.7037177,0.7356768,0.67557865,0.56728655,0.5768582,0.73880106,0.6203683,0.6627208,0.5470903,0.41952798,0.56950885,0.45191288,0.397414,0.58977973,0.743909,0.59099245,0.5239956,0.6148631,0.5280736,0.55813617,0.49941468,0.6612087,0.5188973,0.63268334,0.78704023,0.37864226,0.76745
1,0.4241608,0.6086432,0.5071858,0.47380328,0.8710467,0.64059514,0.5252579,0.6769312,0.75840807,0.63815546,0.597096,0.5726873,0.70198643,0.66929966,0.6405848,0.58805555,0.45424947,0.62656116,0.4739749,0.3856783,0.6308742,0.5925304,0.5859176,0.51763165,0.6350511,0.5270516,0.5614837,0.4773353,0.6046782,0.45743716,0.46066394,0.8564598,0.4016427,0.71205103,0.44582796,0.72087306,0.41842514,0.43571725,0.7367458,0.6532618,0.5030649,0.7046469,0.8376669,0.579343,0.5608129,0.56603265,0.70006377,0.6570756,0.82905596,0.5089972,0.43032998,0.5560254,0.4924961,0.34581512,0.56455183,0.6944911,0.5859871,0.5281347,0.61347127,0.4734362,0.54815537,0.46520922,0.5776762,0.5678682,0.5854171,0.7067885,0.44149828,0.7725008
2,0.5032371,0.543664,0.49921763,0.47689852,0.82072306,0.6773327,0.49652672,0.67092913,0.7778548,0.6347241,0.5903913,0.6065342,0.71267825,0.58671665,0.71641433,0.58695996,0.41795322,0.6019331,0.5091814,0.38507298,0.5921134,0.5554782,0.5609869,0.4718182,0.64937997,0.5710686,0.5319862,0.4713115,0.681282,0.49645063,0.5317648,0.79307336,0.40612835,0.7583734,0.3857137,0.75865227,0.4342826,0.58204395,0.75348765,0.6505591,0.4905155,0.73965293,0.7766106,0.6496606,0.64897376,0.6107231,0.74371237,0.6572675,0.70995307,0.47908172,0.47928542,0.5647973,0.5273653,0.31698352,0.59373504,0.6768948,0.6017475,0.48821083,0.5849532,0.47620916,0.54298836,0.48966348,0.65923613,0.48143324,0.605046,0.77074796,0.40734616,0.76337594
3,0.3833668,0.5504193,0.44188765,0.38358596,0.73065525,0.6428632,0.46927613,0.6957072,0.80412126,0.6027524,0.52028704,0.52718025,0.5797174,0.6218439,0.7208475,0.55294734,0.42913342,0.610571,0.5032523,0.4195378,0.62952274,0.61395794,0.5497506,0.52509314,0.6764644,0.49918243,0.49860716,0.504079,0.6319399,0.5147049,0.45169294,0.90711963,0.45613962,0.6588911,0.39046988,0.6014702,0.4964588,0.45169702,0.84490883,0.725941,0.50780076,0.7466912,0.7495671,0.60117626,0.6084363,0.5777418,0.60544884,0.6485901,0.747435,0.5821812,0.41635245,0.5215511,0.44971606,0.40441003,0.5925571,0.7264687,0.5420528,0.5325027,0.64072174,0.52045727,0.5952154,0.48490062,0.5495016,0.48659676,0.5585293,0.8364981,0.36604726,0.7392741
4,0.4843461,0.6681768,0.45729637,0.42541662,0.8418477,0.7279513,0.50896436,0.62460303,0.6519094,0.6861393,0.58512324,0.626166,0.7193724,0.60876065,0.7300036,0.60566294,0.48302755,0.546521,0.50650406,0.42959166,0.6448107,0.5260538,0.5142106,0.49826124,0.545088,0.5274493,0.5620931,0.5010245,0.65331,0.5238609,0.5818126,0.8001427,0.5044314,0.83955616,0.38248968,0.76503634,0.4694782,0.41550377,0.73893744,0.59895223,0.48736697,0.7427615,0.7725413,0.64894193,0.6373586,0.56612843,0.70217127,0.67278343,0.7469043,0.5824997,0.4245981,0.6358369,0.483615,0.35769352,0.5715515,0.7270016,0.63271695,0.49437445,0.6978179,0.5444147,0.55639017,0.51435053,0.5879521,0.56384635,0.6362634,0.7887658,0.388581,0.82342064
5,0.449423,0.53398484,0.42440403,0.4676889,0.7943512,0.5940135,0.5075672,0.66468495,0.6166329,0.57793766,0.62326866,0.63057315,0.68667865,0.6424406,0.600694,0.54631037,0.39662063,0.5543156,0.48292643,0.40040982,0.6442711,0.53670305,0.62811697,0.51629186,0.8602235,0.47181112,0.5502245,0.4770162,0.6092951,0.5580832,0.51613784,0.7362744,0.42101166,0.81680775,0.43323046,0.74167633,0.45844722,0.43928164,0.74973005,0.59450346,0.5626149,0.6575459,0.82250386,0.60693854,0.65960515,0.60874075,0.6352967,0.6469814,0.7238049,0.61142194,0.48583788,0.63714373,0.4752531,0.3509737,0.56328356,0.6910856,0.55450314,0.46787688,0.6883406,0.49556628,0.5580148,0.5229974,0.5879313,0.5214666,0.6170322,0.6925124,0.40435335,0.7782406
6,0.4191342,0.5545286,0.47014362,0.46495825,0.8681078,0.6264703,0.5104878,0.75078607,0.74850786,0.66266584,0.6109414,0.5598181,0.748613,0.7112734,0.65608287,0.5792594,0.4068353,0.596101,0.48293352,0.41401124,0.61449414,0.5606091,0.5787289,0.51656765,0.6949882,0.52934176,0.55195826,0.5332712,0.6611245,0.5149589,0.5643308,0.7188073,0.4800085,0.73484606,0.44012952,0.728123,0.45219156,0.41622314,0.8322314,0.6789144,0.48315686,0.6800265,0.7976091,0.64325863,0.5895993,0.5938514,0.7158458,0.6284637,0.7470413,0.5910207,0.43950808,0.6071218,0.46544355,0.40947548,0.5649863,0.68064064,0.5528502,0.5265789,0.5137337,0.53386176,0.5084932,0.47338423,0.5890142,0.45114297,0.617068,0.67388594,0.40456763,0.7296735
7,0.35718665,0.54836977,0.46282867,0.4832527,0.6075619,0.6560982,0.5261326,0.72235805,0.7836195,0.60727566,0.61206394,0.5564486,0.6996062,0.65811026,0.5942903,0.6197903,0.3776972,0.61793727,0.4534058,0.36107194,0.6143189,0.6254898,0.5731804,0.55017745,0.82258767,0.50135326,0.5471347,0.54319793,0.57799745,0.48702618,0.4763548,0.760483,0.40498224,0.76304805,0.4343116,0.6555771,0.4456438,0.412557,0.7373099,0.70603985,0.55660546,0.6969208,0.8124458,0.6431648,0.5722348,0.55354124,0.7164437,0.6714503,0.77942544,0.54009736,0.4913181,0.63608676,0.47112986,0.44448385,0.6512526,0.73840284,0.58800644,0.5413222,0.5654945,0.5373263,0.5223093,0.47317776,0.66514647,0.5007135,0.4993458,0.6963771,0.41512462,0.66307324
8,0.48400474,0.6304283,0.4587549,0.4630553,0.7934351,0.56365794,0.4994955,0.65287906,0.704569,0.6556428,0.59021604,0.5462839,0.6912485,0.70553184,0.6775441,0.5435906,0.4233931,0.6088154,0.52769125,0.3589291,0.58110213,0.6431681,0.62619317,0.5445078,0.7968195,0.55193186,0.51519877,0.49479678,0.6515324,0.5096091,0.5127851,0.7304367,0.4812383,0.84025973,0.44237435,0.6972714,0.4897872,0.39669982,0.78219384,0.6421856,0.46190575,0.73277384,0.80161256,0.6247511,0.603471,0.5888898,0.5962306,0.57883614,0.78146595,0.5959105,0.40869468,0.6134579,0.49326468,0.4048645,0.57508963,0.7129162,0.5623483,0.54646,0.4904853,0.47180033,0.5692721,0.5066571,0.55728865,0.51691973,0.6391038,0.74119955,0.46315804,0.7780808
9,0.4059412,0.4764382,0.47795603,0.47218093,0.8677241,0.6333591,0.50758904,0.62956893,0.77103657,0.65842193,0.5871202,0.5626096,0.69505674,0.6518025,0.6589161,0.57000726,0.46674138,0.5325929,0.48945794,0.36592996,0.6248466,0.65794957,0.58443284,0.5281405,0.7346837,0.5031243,0.52456546,0.52509624,0.6755465,0.50259537,0.5637654,0.8194462,0.40549412,0.781692,0.39430624,0.6714132,0.43439007,0.40015018,0.7736433,0.65128094,0.487222,0.6864827,0.82147,0.64437747,0.59250283,0.57569265,0.6675171,0.6070029,0.554794,0.557118,0.3647608,0.6037883,0.47632068,0.29287204,0.6290274,0.75154245,0.5818219,0.5130993,0.6787855,0.48358914,0.51663524,0.49551243,0.61235684,0.56216216,0.5979346,0.780178,0.38544163,0.77482766
